               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039418,            0.011547,           0.0032486,             0.89813,             0.69427,             0.83498,             0.44477,            0.038077,           0.0099155,            0.008424,             0.00769,             0.00769,             0.00769
                  37,            0.040467,            0.011451,           0.0030254,             0.80068,             0.72694,             0.80329,             0.44463,            0.038528,            0.010433,           0.0070967,            0.007624,            0.007624,            0.007624
                  38,            0.040116,            0.011332,           0.0033563,             0.81469,             0.75622,             0.79533,             0.39398,            0.040413,            0.010754,           0.0081581,            0.007558,            0.007558,            0.007558
                  39,            0.040536,            0.011332,           0.0032555,             0.86331,             0.70143,             0.77502,             0.40457,             0.03894,            0.010382,            0.011081,            0.007492,            0.007492,            0.007492
                  40,            0.038109,            0.010884,           0.0028355,             0.72799,             0.75699,             0.78499,             0.40284,            0.039183,            0.010161,            0.010597,            0.007426,            0.007426,            0.007426
                  41,            0.039474,            0.011195,           0.0035764,             0.85647,             0.74234,             0.82472,             0.41835,            0.038532,            0.010087,           0.0070324,             0.00736,             0.00736,             0.00736
                  42,            0.037477,            0.011109,           0.0037136,             0.77251,             0.79821,             0.83776,             0.42703,            0.037397,           0.0092357,           0.0085793,            0.007294,            0.007294,            0.007294
                  43,            0.039178,            0.011274,           0.0031861,             0.74917,             0.84262,             0.85973,             0.45907,            0.037111,           0.0091562,           0.0078737,            0.007228,            0.007228,            0.007228
                  44,            0.038337,             0.01176,           0.0034829,             0.82837,             0.78541,             0.83934,             0.41814,            0.038794,            0.009622,           0.0057273,            0.007162,            0.007162,            0.007162
                  45,            0.036661,            0.010672,           0.0026518,             0.79627,             0.81947,             0.87071,             0.41692,            0.039951,            0.009347,           0.0055925,            0.007096,            0.007096,            0.007096
                  46,             0.03813,            0.010631,           0.0025617,             0.73159,             0.86752,             0.85904,             0.43072,            0.038328,           0.0099194,           0.0044842,             0.00703,             0.00703,             0.00703
                  47,            0.036488,            0.011186,           0.0026353,             0.81396,             0.80913,             0.85294,             0.42451,            0.038796,            0.010295,           0.0044456,            0.006964,            0.006964,            0.006964
                  48,            0.037071,            0.010838,           0.0023049,              0.8393,             0.79326,              0.8583,             0.46353,            0.035723,           0.0094427,           0.0048578,            0.006898,            0.006898,            0.006898
                  49,            0.035385,            0.010863,           0.0030186,             0.82935,             0.77097,             0.80911,             0.40928,            0.037247,           0.0097332,           0.0069571,            0.006832,            0.006832,            0.006832
                  50,            0.036318,            0.011022,           0.0032608,             0.75349,             0.84767,             0.85485,             0.44971,            0.036362,           0.0098313,           0.0042248,            0.006766,            0.006766,            0.006766
                  51,            0.036551,            0.011094,           0.0024777,             0.75249,             0.82151,              0.8442,             0.45714,            0.037801,            0.010072,            0.003689,              0.0067,              0.0067,              0.0067
                  52,            0.034962,            0.010378,           0.0027036,             0.79438,             0.80766,             0.85408,             0.45556,            0.037938,           0.0097069,            0.004865,            0.006634,            0.006634,            0.006634
                  53,            0.035187,            0.010632,           0.0029528,             0.76548,             0.84265,             0.84043,             0.41593,             0.03915,             0.01001,           0.0033326,            0.006568,            0.006568,            0.006568
                  54,            0.035344,            0.010696,           0.0024666,             0.72465,              0.8513,             0.82001,             0.41576,            0.038406,            0.010057,           0.0041358,            0.006502,            0.006502,            0.006502
                  55,            0.036021,            0.010414,           0.0023308,             0.80176,             0.75851,             0.81636,             0.41833,            0.038504,            0.010404,           0.0037223,            0.006436,            0.006436,            0.006436
